Name,Order,Family,Organism,WH,TSH,Cotyledon,AP
DQ978428,Sapindales,Aceraceae,Acer rubrum,Woody,Tree,Dicot,Perennial
1531,Lamiales,Scrophulariaceae,Agalinis fasciculata,Herbaceous,Herb,Dicot,Annual
1693,Asparagales,Alliaceae,Allium cuthbertii,Herbaceous,Herb,Monocot,Perennial
BJX_09,Fagales,Betchulaceae,Alnus serrulata,Woody,Tree,Dicot,Perennial
1758,Poales,Poaceae,Aristida mohrii,Herbaceous,Herb,Monocot,Perennial
1750,Poales,Poaceae,Aristida tuberculosa,Herbaceous,Herb,Monocot,Annual
JQ391242,Rosales,Rosaceae,Aronia arbutifolia,Woody,Shrub,Dicot,Perennial
1504,Gentianales,Apocynaceae,Asclepias tuberosa var. tuberosa,Herbaceous,Herb,Dicot,Perennial
1544,Lamiales,Orobanchaceae,Aureolaria pectinata,Herbaceous,Herb,Dicot,Annual
BJX02,Fabales,Fabaceae,Baptisia cinerea,Herbaceous,Herb,Dicot,Perennial
1521,Fabales,Fabaceae,Baptisia lanceolata var. lanceolata,Herbaceous,Herb,Dicot,Perennial
1900,Asterales,Asteraceae,Berlandiera pumila var. pumila,Herbaceous,Herb,Dicot,Perennial
BRECPRBCOA,Nymphaeales,Cabombaceae,Brasenia schreberi,Herbaceous,Herb,Dicot,Perennial
AY149347,Dioscoreales,Burmanniaceae,Burmannia capitata,Herbaceous,Herb,Monocot,Annual
KJ773329,Lamiales,Verbenaceae,Callicarpa americana,Woody,Shrub,Dicot,Perennial
NACRX717,Poales,Cyperaceae,Carex folliculata,Herbaceous,Herb,Monocot,Perennial
PM_29,Poales,Cyperaceae,Carex glaucescens,Herbaceous,Herb,Monocot,Perennial
2010_12,Poales,Cyperaceae,Carex lupulina,Herbaceous,Herb,Monocot,Perennial
2009_18,Poales,Cyperaceae,Carex lurida,Herbaceous,Herb,Monocot,Perennial
1763,Fabales,Fabaceae,Centrosema virginianum,Herbaceous,Herb,Dicot,Perennial
1517,Fabales,Fabaceae,Chamaecrista fasciculata var. fasciculata,Herbaceous,Herb,Dicot,Annual
1748,Fabales,Fabaceae,Chamaecrista nictitans,Herbaceous,Herb,Dicot,Perennial
1768,Asterales,Asteraceae,Chrysopsis gossypina,Herbaceous,Herb,Dicot,Perennial
CTFCPRBCLA,Ericales,Clethraceae,Clethra alnifolia,Woody,Shrub,Dicot,Perennial
BJX26,Malpighiales,Euphorbiaceae,Cnidoscolus urens var stimulosus,Herbaceous,Herb,Dicot,Perennial
CRNCPRBCLD,Cornales,Cornaceae,Cornus florida,Woody,Tree,Dicot,Perennial
1497,Rosales,Rosaceae,Crataegus flava,Woody,Tree,Dicot,Perennial
TADCR250,Rosales,Rosaceae,Crataegus lassa,Woody,Tree,Dicot,Perennial
1524,Rosales,Rosaceae,Crataegus uniflora,Woody,Tree,Dicot,Perennial
1688,Poales,Cyperaceae,Cyperus echinatus,Herbaceous,Herb,Monocot,Perennial
CYQCPRBCL,Ericales,Cyrillaceae,Cyrilla racemiflora,Woody,Tree,Dicot,Perennial
1716,Poales,Poaceae,Danthonia sericea,Herbaceous,Herb,Monocot,Perennial
GS_08,Myrtales,Lythraceae,Decodon verticillatus,Woody,Shrub,Dicot,Perennial
KJ773451,Poales,Poaceae,Dichanthelium dichotomum,Herbaceous,Herb,Monocot,Perennial
2009_02,Poales,Poaceae,Dichanthelium dichotomum var tenue,Herbaceous,Herb,Monocot,Perennial
2009_10,Poales,Poaceae,Dichanthelium ensifolium,Herbaceous,Herb,Monocot,Perennial
2010_13,Poales,Poaceae,Dichanthelium scabriusculum,Herbaceous,Herb,Monocot,Perennial
BJX24,Ericales,Ebenaceae,Diospyros virginiana,Woody,Tree,Dicot,Perennial
KJ773463,Caryophyllales,Droseraceae,Drosera capillaris,Herbaceous,Herb,Dicot,Perennial
PM_27,Caryophyllales,Droseracese,Drosera intermedia,Herbaceous,Herb,Dicot,Perennial
HS_04,Poales,Cyperaceae,Dulichium arundinaceum var. arundinaceum,Herbaceous,Herb,Monocot,Perennial
PM2_05,Poales,Cyperaceae,Eleocharis erythropoda,Herbaceous,Herb,Monocot,Perennial
1915,Asterales,Asteraceae,Erigeron strigosus var. strigosus,Herbaceous,Herb,Dicot,Annual
PM_13,Poales,Eriocaulaceae,Eriocaulon compressum,Herbaceous,Herb,Monocot,Perennial
PM_01,Poales,Eriocaulaceae,Eriocaulon decangulare var. decangulare,Herbaceous,Herb,Monocot,Perennial
GBVI3436,Caryophyllales,Polygonaceae,Eriogonum tomentosum,Herbaceous,Herb,Dicot,Perennial
1766,Asterales,Asteraceae,Eupatorium glaucescens,Herbaceous,Herb,Dicot,Perennial
GS_03,Asterales,Asteraceae,Eupatorium pilosum,Herbaceous,Herb,Dicot,Perennial
PM_17,Asterales,Asteraceae,Eupatorium rotundifolium,Herbaceous,Herb,Dicot,Perennial
1516,Malpighiales,Euphorbiaceae,Euphorbia curtisii,Woody,Shrub,Dicot,Perennial
1767,Asterales,Asteraceae,Euthamia caroliniana,Herbaceous,Herb,Dicot,Perennial
1752,Caryophyllales,Amaranthaceae,Froelichia gracilis,Herbaceous,Herb,Dicot,Annual
2009_12,Poales,Cyperaceae,Fuirena pumila,Herbaceous,Herb,Monocot,Annual
1549,Fabales,Fabaceae,Galactia regularis,Herbaceous,Herb,Dicot,Perennial
KJ773531,Gentianales,Rubiaceae,Galium pilosum,Herbaceous,Herb,Dicot,Perennial
KJ773535,Ericales,Ericaceae,Gaylussacia dumosa,Woody,Shrub,Dicot,Perennial
GMMCPRBCL,Gentianales,Loganiaceae,Gelsemium sempervirens,Woody,Shrub,Dicot,Perennial
2009_08,Asterales,Asteraceae,Helianthus angustifolius,Herbaceous,Herb,Dicot,Perennial
KX397815,Gentianales,Rubiaceae,Houstonia procumbens,Herbaceous,Herb,Dicot,Perennial
KX397817,Gentianales,Rubiaceae,Houstonia pusilla,Herbaceous,Herb,Dicot,Annual
BBYUK1207,Malpighiales,Clusiaceae,Hypericum canadense,Herbaceous,Herb,Dicot,Annual
KJ773570,Malpighiales,Clusiaceae,Hypericum fasciculatum,Woody,Shrub,Dicot,Perennial
HM850064,Malpighiales,Clusiaceae,Hypericum hypericoides,Woody,Shrub,Dicot,Perennial
KJ773577,Malpighiales,Clusiaceae,Hypericum tetrapetalum,Woody,Shrub,Dicot,Perennial
FJ670168,Malpighiales,Clusiaceae,Hypericum walteri,Herbaceous,Herb,Dicot,Perennial
FJ394599,Aquifoliales,Aquifoliaceae,Ilex coriacea,Woody,Tree,Dicot,Perennial
BJX04,Aquifoliales,Aquifoliaceae,Ilex glabra,Woody,Shrub,Dicot,Perennial
FJ394633,Aquifoliales,Aquifoliaceae,Ilex opaca,Woody,Tree,Dicot,Perennial
NM_01,Saxifragales,Grossulariaceae,Itea virginica,Woody,Shrub,Dicot,Perennial
2009_20,Poales,Juncaceae,Juncus marginatus,Herbaceous,Herb,Monocot,Perennial
1800,Asterales,Asteraceae,Krigia virginica,Herbaceous,Herb,Dicot,Annual
PM_38,Poales,Eriocaulaceae,Lachnocaulon anceps,Herbaceous,Herb,Monocot,Perennial
1550,Asterales,Asteraceae,Liatris cokeri,Herbaceous,Herb,Dicot,Perennial
1491,Asterales,Asteraceae,Liatris elegans var. elegans,Herbaceous,Herb,Dicot,Perennial
KX397850,Malpighiales,Linaceae,Linum floridanum,Herbaceous,Herb,Dicot,Perennial
PM_39,Asterales,Campanulaceae,Lobelia flaccidifolia,Herbaceous,Herb,Dicot,Annual
KJ773640,Asterales,Campanulaceae,Lobelia puberula,Herbaceous,Herb,Dicot,Perennial
PM_06,Myrtales,Onagraceae,Ludwigia hirtella,Herbaceous,Herb,Dicot,Perennial
KJ773655,Myrtales,Onagraceae,Ludwigia virgata,Herbaceous,Herb,Dicot,Perennial
HS_05,Lycopodiales,Lycopodiaceae,Lycopodium alopecuroides,Herbaceous,Herb,,Perennial
LLU82764,Ericales,Ericaceae,Lyonia lucida,Woody,Shrub,Dicot,Perennial
KX702295,Magnoliales,Magnoliaceae,Magnolia virginiana,Woody,Tree,Dicot,Perennial
AF036885,Poales,Mayacaceae,Mayaca fluviatilis,Herbaceous,Herb,Monocot,Perennial
1589,Fabales,Fabaceae,Mimosa microphylla,Herbaceous,Herb,Dicot,Perennial
GQ248648,Fagales,Myricaceae,Morella caroliniensis,Woody,Tree,Dicot,Perennial
AF119179,Fagales,Myricaceae,Morella cerifera,Woody,Tree,Dicot,Perennial
BJX21,Lamiales,Plantaginaceae,Nuttallanthus canadensis,Herbaceous,Herb,Dicot,Annual
NYMCPRBCOA,Nymphaeales,Nymphaeaceae,Nymphaea odorata,Herbaceous,Herb,Dicot,Perennial
EF173097,Asterales,Menyanthaceae,Nymphoides cordata,Herbaceous,Herb,Dicot,Perennial
1708,Myrtales,Onagraceae,Oenothera laciniata,Herbaceous,Herb,Dicot,Perennial
BJX28,Caryophyllales,Cactaceae,Opuntia humifusa,Woody,Shrub,Dicot,Perennial
PK_01,Alismatales,Araceae,Orontium aquaticum,Herbaceous,Herb,Monocot,Perennial
HQ644059,Geraniales,Oxalidaceae,Oxalis dillenii,Herbaceous,Herb,Dicot,Perennial
HS_02,Alismatales,Araceae,Peltandra virginica,Herbaceous,Herb,Monocot,Perennial
KJ773750,Lamiales,Lentibulariaceae,Pinguicula pumila,Herbaceous,Herb,Dicot,Perennial
1728,Asterales,Asteraceae,Pityopsis aspera,Herbaceous,Herb,Dicot,Perennial
1554,Asterales,Asteraceae,Pityopsis pinifolia,Herbaceous,Herb,Dicot,Perennial
EU498136,Asparagales,Orchidaceae,Pogonia ophioglossoides,Herbaceous,Herb,Monocot,Perennial
PM_23,Fabales,Polygalaceae,Polygala cruciata,Herbaceous,Herb,Dicot,Annual
PM_19,Fabales,Polygalaceae,Polygala incarnata,Herbaceous,Herb,Dicot,Annual
BJX22,Fabales,Polygalaceae,Polygala nana,Herbaceous,Herb,Dicot,Annual
